,description,size,TNR,prevalence_threshold_UB,FNR,prevalence_LB,R2_LB,fp,jaccard_UB,recall,ConfusionMatrix,tn,AP,accuracy_LB,p,explained_variance,recall_UB,phi_UB,R2,prevalence_threshold_LB,AP_LB,tp,FNR_UB,jaccard_complement,TPR_LB,balanced_informedness_markedness_LB,markedness_UB,sensitivity_LB,LR-,balanced_informedness_markedness_UB,pn,explained_variance_UB,phi_LB,R2_UB,markedness,accuracy,FNR_LB,explained_variance_LB,phi,specificity_LB,F1_complement_LB,n,markedness_LB,NPV_LB,TPR,balanced_accuracy,LR+_LB,balanced_accuracy_LB,specificity_UB,F1,specificity,AUC_LB,jaccard_LB,prevalence,informedness_LB,balanced_informedness_markedness,prevalence_threshold,NPV,pp,prevalence_UB,informedness,jaccard_complement_UB,precision,LR-_UB,jaccard,FPR_UB,LR+_UB,sensitivity,balanced_accuracy_UB,AUC_UB,TPR_UB,F1_complement_UB,LR-_LB,FPR,jaccard_complement_LB,DOR,fn,LR+,AP_UB,DOR_LB,FPR_LB,DOR_UB,F1_complement,accuracy_UB,sensitivity_UB,informedness_UB,AUC,precision_LB,recall_LB,precision_UB,NPV_UB,degree,DisparateImpact,TPR_Disparity_UB,EqualOpportunityDifference_LB,DisparateImpact_LB,AverageOddsDifference_LB,TPR_Disparity,StatisticalParityDifference_UB,AverageOddsDifference_UB,StatisticalParityDifference_LB,AverageOddsDifference,EqualOpportunityDifference_UB,predicted_prevalence,EqualOpportunityDifference,DisparateImpact_UB,StatisticalParityDifference,TPR_Disparity_LB,Hispanic,age_first_child,age_group,bmi,density,ethnicity,hrt,lastmamm,menopause,nrelbc,rstproc,surgmeno,FNR_CI_diff,recall_CI_diff,AP_CI_diff,explained_variance_CI_diff,R2_CI_diff,jaccard_complement_CI_diff,LR-_CI_diff,markedness_CI_diff,accuracy_CI_diff,phi_CI_diff,TPR_CI_diff,balanced_accuracy_CI_diff,specificity_CI_diff,prevalence_CI_diff,balanced_informedness_markedness_CI_diff,prevalence_threshold_CI_diff,NPV_CI_diff,informedness_CI_diff,precision_CI_diff,jaccard_CI_diff,sensitivity_CI_diff,FPR_CI_diff,DOR_CI_diff,LR+_CI_diff,F1_complement_CI_diff,AUC_CI_diff,DisparateImpact_CI_diff,TPR_Disparity_CI_diff,AverageOddsDifference_CI_diff,EqualOpportunityDifference_CI_diff,StatisticalParityDifference_CI_diff,sensitivity_CI_diff_impact,specificity_CI_diff_impact,sort_on_sensitivity,sort_on_specificity,sort_on_sensitivity_impact,sort_on_specificity_impact
0,Hispanic:no  age_first_child:<30,119390,0.652712024888408,0.4021732464882314,0.20598911070780399,0.008695565486773712,-39.051942916672814,41080,1.987526974146867e-05,0.794010889292196,True,77208,0.01846096776388721,0.65135794455147,1102,-24.02946391660773,0.8175319185841093,0.09378317002083127,-36.83287308186019,0.3953275641822904,0.017446962733052677,875,0.2310909744686346,0.6514618402733832,0.7689090255313652,0.6184179100721149,-0.9752866976252225,0.7689090255313652,0.31558957526946324,0.687737500271155,77435,-22.91552165680679,0.08485415146938162,-34.79981050090456,-0.9762128303687523,0.6540162492671078,0.18246808141589066,-25.389248480643726,0.08948265417046299,0.6499908698644569,0.7872746226955002,118288,-0.9771616012723354,0.996662005331136,0.794010889292196,0.723361457090302,2.2398921001221526,0.7110059489684233,0.6554256913570408,0.04064379775646236,0.652712024888408,0.7113403880934791,1.8906338883325944e-05,0.009230253790099674,2.239334836741511,0.6550527872571439,0.3980800325399121,0.997068509072125,41955,0.009788979490175181,2.28631840488304,0.6537140777428182,0.02085567870337266,0.33722580453893247,1.9328405289488705e-05,0.35000913013554313,2.33266557501763,0.794010889292196,0.7359033822638281,0.7353825260871248,0.8175319185841093,0.7904568754979867,0.2727348008326434,0.34728797511159204,0.648234679656641,7.244594194630441,227,2.28631840488304,0.019434238178036054,6.396928699045604,0.34457430864295496,8.233654197146317,0.7889517328060576,0.6558800988357484,0.8175319185841093,2.351385006976744,0.723361457090302,0.01950960928757342,0.7689090255313652,0.02226861524221672,0.997437027469994,2,2.4217296237368475,0.11059021346895972,-0.01999657936345907,-0.4332285168682781,0.09665270127028003,0.04205776429219599,0.21153604979091856,0.15691239215677866,0.198845109955842,0.12492580556458598,0.11156652411314308,0.35141134098333193,0.04205776429219599,5.268398270968538,0.20630375443075594,-0.01548424739140035,no,<30,,,,,,,,,,,-0.8508517487434168,-1.1489052808931721,-1.1620282221651015,-1.2342400709511465,-0.868546157779613,2.9196016275759087,-1.0214614359355958,-1.2469354485900346,3.611688295485362,-0.7857513791850834,-1.1489052808931721,-0.6308319199510175,2.8352172190236655,-1.4216121091282676,-0.15038799586205567,-3.227406019589644,-1.0112834982872172,-0.16834847942374942,-1.0203243323150943,-4.101758938140583,-1.1489052808931721,-9.435200994508577,-0.8699566363795974,0.13821094758886307,3.6899080418394976,-0.7208469681493435,-1.0122499977694526,-1.0271061628566076,-1.5662375291932544,-1.189882953421684,-3.7362280468705196,0,1,503,107,,107.0
1,Hispanic:no  age_first_child:Nulliparous,25680,0.8242586962530106,0.32668284055586194,0.20113314447592068,0.01235778360665693,-13.331089911531604,4451,0.00018917030128526316,0.7988668555240793,True,20876,0.050362611422385746,0.8188716900311527,353,-9.842940345940821,0.8394389897401896,0.19999682825701978,-11.98874293644233,0.3143008817341748,0.046843560389250964,282,0.24680093092320884,0.821954484605087,0.753199069076791,1.6989534086367126,-0.9297306536548756,0.753199069076791,0.24401701236547438,1.921677395829115,20947,-9.001263289901694,0.17550228310259836,-10.481076919891585,-0.9370288324690474,0.8239096573208723,0.16056101025981045,-11.204347915694472,0.18712233127202924,0.8195145102565745,0.9002236955257987,25327,-0.9413438247567064,0.9957264930827074,0.7988668555240793,0.811562775888545,4.353631515025114,0.7968067433616252,0.8289283622082593,0.1108926464805348,0.8242586962530106,0.7904944628132687,0.00017088468633608887,0.013746105919003115,4.256317112899722,1.804334477256642,0.3192782566365314,0.996610493149377,4733,0.015246003317019835,4.545697786982331,0.8253474303717697,0.0595816606803296,0.29902449092534356,0.00017948030903708814,0.18048548974342668,4.720559747657549,0.7988668555240793,0.8286751208371059,0.8326310889638212,0.8394389897401896,0.9041531676394954,0.18747407236224148,0.17574130374698937,0.8189968053487295,18.628610124010745,71,4.545697786982331,0.057769968165699515,16.421896766285094,0.17107163779173973,26.80537701260477,0.9022777369581191,0.8273082165109035,0.8394389897401896,4.764193980346801,0.8115627758885451,0.0530057219879385,0.753199069076791,0.06670717531268028,0.9973518467135841,2,0.6081703296869451,0.10233247347850824,-0.0451757569700099,-1.67122229333616,-0.10048073252565001,0.02329191500068517,-0.11213944779922216,-0.006314640972587229,-0.12725165348640424,-0.050000284180922644,0.11865811582767376,0.18430685358255453,0.02329191500068517,2.8611747842825634,-0.11874451966912361,-0.09318689035203426,no,Nulliparous,,,,,,,,,,,-0.9701087182115745,-1.0180459273600644,-3.4219896024488787,-6.040870379255685,-7.245543820202531,-20.478606400800725,-0.9489245649547334,-3.7420081117447483,-15.394521869463285,-4.134173435323158,-1.0180459273600644,-2.952229301657602,-14.039911380222339,-2.076952647006743,-5.090921090673833,-2.017980645818631,-0.7210734743941128,-4.323455234171457,-3.1456313199619146,-9.47571918326137,-1.0180459273600644,-3.018524402351012,-1.8626382168192663,-5.95453428044266,-21.356218676208286,-2.3917846514028733,-1.052522091089736,-0.7849472216012983,-1.0179940661452553,-1.1422378170297303,-2.7581741119594034,0,0,817,633,,
2,Hispanic:no  age_first_child:>=30,15819,0.8457670273711012,0.34066343781841446,0.3486238532110092,0.005661090380498695,-25.238539152011402,2423,0.0002922558202901383,0.6513761467889908,True,13287,0.02094576177819898,0.8389895062899045,109,-18.4128288532402,0.74014267526588,0.13333287837732588,-21.734633465507265,0.3147877774505388,0.014343356925125086,71,0.4458443110334301,0.8437261874523749,0.5541556889665701,1.4143869168439476,-0.9604977254604513,0.5541556889665701,0.41219844464099903,1.88328841797912,13325,-15.76148324358344,0.09684049499647553,-18.257268524509843,-0.9686798936584764,0.8444275870788293,0.25985732473412004,-20.855864039123322,0.1128498507255264,0.8400235259333472,0.9119664835030286,15710,-0.9741175875182349,0.9960877860664533,0.6513761467889908,0.748571587080046,3.5868028910566396,0.719586547934814,0.8513821869545413,0.05455243949289282,0.8457670273711012,0.703546291618008,0.00022959336177488126,0.0068904481952082935,3.7554234097427885,1.6273231291210395,0.3273243916195526,0.9971482176360225,2494,0.00830601658503917,4.223326151900555,0.8481370579158298,0.02846832397754611,0.4942840974966268,0.00026883043614898505,0.15997647406665225,4.682433407066296,0.6513761467889908,0.7881484049985997,0.793596882542084,0.74014267526588,0.9181471759514672,0.3213796728727747,0.1542329726288988,0.8387163846439052,10.245856593609489,38,4.223326151900555,0.027542977359033206,6.315105951098729,0.14861781304545876,12.653072991199224,0.915240227311865,0.8503982552626588,0.74014267526588,4.590837567724412,0.748571587080046,0.022299457619131817,0.5541556889665701,0.035774730561721875,0.9979811428018064,2,0.5284329373370541,0.04336534154169779,-0.3136822276852916,-1.9170303315986539,-0.2106643509413951,-0.1386570758023713,-0.1306096228769536,-0.04663484156450553,-0.14874356151425827,-0.1390447854907938,0.023157361300388174,0.15765851191605032,-0.1386570758023713,2.9535680468595573,-0.14069251955171355,-0.3546083939450362,no,>=30,,,,,,,,,,,-1.3502794703906396,-0.8423703405410496,-0.7529510555747156,-1.2854022830402643,-1.8440342885064784,-16.224060996306108,-1.2199431340297735,-0.931691422917385,-13.40780926216284,-0.9481635564038199,-0.8423703405410496,-0.929946148950521,-13.612825631996378,-0.8989314784783453,-2.3362716120436873,-1.2809370170171042,-0.9044798831797668,-2.420866906472485,-0.9029335441428908,-4.4102143117989865,-0.8423703405410496,-1.7209029424368778,-0.8186162970161392,-1.9593835400819548,-15.841699756290929,-0.7899456303608511,-1.0250451130395402,-0.8490205051860984,-0.8261173469917955,-0.8861797413516794,-1.5977811864117148,0,0,800,904,,
3,Hispanic:yes  age_first_child:<30,9983,0.9193370165745857,0.3171186801228664,0.5,0.0018645323959710428,-41.09717603306066,803,0.0009164413883482485,0.5,True,9152,0.00997031550943826,0.9135179805669639,28,-26.027301427853903,0.6935290384676821,0.10845334337153818,-28.260640740474983,0.26128384886037914,0.005712897833270437,14,0.6935290384676821,0.9180459424215067,0.30647096153231795,1.3280316778625734,-0.9740331059600877,0.30647096153231795,0.5438701923076923,3.268632655553314,9166,-20.748517034046927,0.044527095557503,-20.264623901500528,-0.9813367532771717,0.9181608734849244,0.30647096153231795,-40.02295116240172,0.08090249106468772,0.91381385596451,0.9532374783914358,9955,-0.990909890537462,0.9974386360987563,0.5,0.7096685082872929,3.884379636308615,0.63415269203853,0.9246133551423267,0.033136094674556214,0.9193370165745857,0.6153317687565883,0.0004319884372826826,0.002804768105779826,4.1858140469518625,2.6086466918545645,0.28655718718871287,0.9984726161902684,817,0.004051138886888346,6.198630136986301,0.9224916305207013,0.017135862913096694,0.7204122607033265,0.0006226650062266501,0.08618614403548988,7.584948654215229,0.5,0.7930447089804081,0.8040052478179972,0.6935290384676821,0.9598422173199992,0.3908144500271733,0.08066298342541436,0.914053134466279,11.397260273972602,14,6.198630136986301,0.014292890357246155,4.6518266526446554,0.07538664485767338,18.9686574360921,0.9572721091993097,0.9238831012721627,0.6935290384676821,7.7896992916060706,0.7096685082872928,0.009399192577411807,0.30647096153231795,0.02858407027833529,0.9991647213965198,2,0.2746623060681511,0.03286838431370839,-0.5780990507480687,-3.6790402687607267,-0.41833378196536786,-0.28562421185372,-0.20376584329053807,-0.13689980067606855,-0.22504224536654766,-0.24909938342048454,0.026255169760720565,0.08183912651507563,-0.28562421185372,4.182277046304573,-0.21612358881568816,-0.6485183149529445,yes,<30,,,,,,,,,,,-1.3016365439806368,-0.5208460905361848,0.07719290389397694,-0.2708342750071541,-0.8749940840841465,-29.95556217329421,-1.3911617602032555,-0.21280567213173354,-24.28050747265082,-0.33923721059562034,-0.5208460905361848,-0.45847125466863337,-23.49912344347242,-0.6705729169129732,-1.3353182953714513,-1.7675705270468365,-1.3449128428853478,-1.5142484818301185,-0.4759235939358558,-1.8540450369935833,-0.5208460905361848,-2.853813195612552,-0.8614249174115338,-1.4158527361516715,-23.86818363602457,-0.45556706983414547,-1.174117982101653,-0.6657977193699738,-0.6878333595705319,-0.8395808235045016,-2.2532704807763584,0,0,995,1305,,
4,Hispanic:yes  age_first_child:Nulliparous,3407,0.9891048292108363,0.1312816737937836,0.2727272727272727,0.0016127967572713922,-12.612267660640146,37,0.025314542483660128,0.7272727272727273,True,3359,0.13017346935750224,0.9843630760199589,11,-2.617196702002356,0.9397822658272428,0.5217911833242198,-2.648142199378948,0.09264966092066237,0.05152349743798699,8,0.6097425595724212,0.9882318328920271,0.3902574404275788,25.94740594171448,-0.7107212790298004,0.3902574404275788,0.275731413570056,45.46596714314633,3362,-1.136807433551572,0.19486813327873975,-0.6918884521406613,-0.8213298962257914,0.9882594658056941,0.06021773417275722,-5.0529721650494945,0.35597298735242905,0.9850134343664882,0.9920901818621232,3396,-0.9203513463051826,0.99739448064638,0.7272727272727273,0.8581887782417819,27.002338435374156,0.7376640626437202,0.9923175149062661,0.2857142857142857,0.9891048292108363,0.7201612283053415,0.011755952380952383,0.003228646903434106,47.95062200956938,32.965256427808484,0.10904911243398045,0.9991076740035693,45,0.00576958124494492,66.75184275184276,0.9912508249846962,0.17777777777777778,0.5255204598742994,0.019656019656019656,0.014986565633511835,110.9078144078144,0.7272727272727273,0.9588276809988051,0.996216328178222,0.9397822658272428,0.9956916793681994,0.0,0.010895170789163721,0.9846939431137623,242.09009009009014,3,66.75184275184276,0.2515789494701994,112.29680652680656,0.0076824850937339175,,0.9940810890796093,0.9906882888171412,0.9397822658272428,104.17560180995474,0.8581887782417819,0.08001795745712599,0.3902574404275788,0.32053424339360675,0.9998159431101561,2,0.045380400490803906,0.3145226304046899,-0.6351263839231736,-22.181367869733744,-0.4627683475968913,-0.05376283105540747,-0.27049536070367547,0.10918036869237079,-0.28465170594042033,-0.1646534821578866,0.36082049368822994,0.013208100968594072,-0.05376283105540747,21.984909839242768,-0.2778448828249408,-0.49719281979379226,yes,Nulliparous,,,,,,,,,,,-0.8127089203255543,-0.8149784920382467,-1.182790782110444,-4.903594944375291,-1.6959190813411626,-23.366554262773587,-0.6324185768789312,-1.2349049557269982,-23.731060438972445,-1.2511576673955136,-0.8149784920382467,-1.0058079501487065,-20.922523438507493,-0.7661502443188383,-2.228891197678178,2.255771773867609,-1.5016114603061532,-1.7657900688771972,-1.2286173458332728,-1.8547267007992725,-0.8149784920382467,5.5283926460572905,,-1.2642986170351,-23.65186779597475,-0.9890466475780915,-0.6120675822782597,-0.9058838984670692,-0.7687050214369414,-0.8453960316538266,1.3271807351355842,0,0,1591,1825,,
5,Hispanic:yes  age_first_child:>=30,973,0.9927234927234927,0.1133247107443216,0.09090909090909091,0.005656670897596157,-0.7350999381445942,7,0.25458333333333333,0.9090909090909091,True,955,0.5357871075179581,0.986639260020555,11,0.2678132678132681,0.9977010277861846,0.9084027800902277,0.2644112644112646,0.03826996845037888,0.2788366675080988,10,0.4127799169883827,0.9916926272066459,0.5872200830116173,42.08740431041891,-0.24696491731192058,0.5872200830116173,0.09157544026653974,218.2275279230681,956,0.6920380769674077,0.5347920174976885,0.6013332466181063,-0.4107186807777504,0.9917780061664954,0.002298972213815338,-0.38912452857744206,0.7276920635727963,0.9850654008592261,0.9925416880374361,962,-0.6924812030075188,0.9941858371513986,0.9090909090909091,0.9509072009072008,65.74386140819965,0.7812307059689678,0.9970696082348617,0.7142857142857143,0.9927234927234927,0.8617774237603104,0.07401785714285714,0.011305241521068859,73.33487580128205,62.26217312714359,0.08211909624775018,0.9989539748953975,17,0.02013798457041996,124.93506493506493,0.9971749821100941,0.5882352941176471,0.2911538492970223,0.12987012987012986,0.01493459914077379,324.3734848484846,0.9090909090909091,0.9979233653146697,1.0,0.9977010277861846,0.9979178577616077,0.0,0.007276507276507277,0.9839174224236145,1364.2857142857142,1,124.93506493506493,0.7589673913043478,237.3870370370372,0.0029303917651383473,,0.9958289885297185,0.9971993833504625,0.9977010277861846,538.7937499999991,0.9509072009072009,0.3292471539467574,0.5872200830116173,0.8155630382160534,0.9999735172879278,2,0.0608455925691866,0.31295991955585145,-0.2519009797496761,-16.564096385018075,-0.18812931016186288,0.1293030113990813,-0.25539676092144603,0.02161298375306357,-0.27888184832739377,-0.07299797028299843,0.31237264598850306,0.017471736896197326,0.1293030113990813,16.508999595835537,-0.26967703031040813,-0.16203647485236738,yes,>=30,,,,,,,,,,,-0.44733586907094913,-1.2321392306736803,-1.5496033674456555,-19.45325428512569,-18.506399659649507,-11.188307412616012,-0.10051544612490132,-1.6269359801005074,-14.037861268661107,-2.1401648040239714,-1.2321392306736803,-1.2623122356030059,-12.351577870035301,-1.2121224063551463,-1.2300575060871384,1.400337460952434,-0.6401317069248027,-1.1485058357881441,-1.6255510075867639,-1.4085228830143435,-1.2321392306736803,3.368135052141766,,-1.2386398039292537,-15.027460315367522,-2.0079077949504267,-0.6517937293997429,-1.5447638219171682,-1.6786908291346967,-1.4062710964612122,0.15709666445492398,0,0,2185,2142,,
6,Hispanic:no  age_group:45-49,11984,0.8681198451439152,0.2834262698137378,0.10784313725490197,0.006945164466130328,-17.622912573434093,1567,0.0006245558183098638,0.8921568627450981,True,10315,0.049884280454231,0.8634366655540721,102,-12.605697859012317,0.9449211299841632,0.22924028332453156,-14.603394160222585,0.2680190413450549,0.0411872510879685,91,0.1847723649720402,0.867316909106197,0.8152276350279598,2.6881335366905605,-0.9293331983513415,0.8152276350279598,0.1242260937336641,3.2105558991067005,10326,-10.852060287062379,0.17681385535805003,-12.89996297955025,-0.9440493237700657,0.8683244325767691,0.05507887001583685,-16.867092153897847,0.20228245785132085,0.8619036114992615,0.9255731728683243,11882,-0.9535382248110651,0.9980947351803411,0.8921568627450981,0.8801383539445067,6.332845444798439,0.8549715726393141,0.8741551219031609,0.10340909090909091,0.8681198451439152,0.8497393169945312,0.0005374957272633914,0.008511348464619492,6.242376060015104,2.91042838314919,0.27770501075400056,0.9989347278713926,1658,0.010322775876540369,6.764906090068446,0.8731465344616391,0.0548854041013269,0.17468612262715924,0.0005693406909668782,0.13809638850073852,7.254880293822169,0.8921568627450981,0.8975873209271089,0.9105373908944819,0.9449211299841632,0.9315020468396111,0.06520754686990951,0.13188015485608484,0.859089721136092,54.45640192608922,11,6.764906090068446,0.059072401155396935,33.68841781372504,0.1258448780968391,118.56990276078619,0.9289445244956773,0.8728763351134846,0.9449211299841632,7.15111687759571,0.8801383539445066,0.044417296595713016,0.8152276350279598,0.06696193109229695,0.9994681038417035,2,0.4666717576206464,0.20827452233083926,0.027952328538664528,-2.18165070527931,-0.10225176472835423,0.11900871459694995,-0.1450096751394709,0.042291181092535615,-0.16810489580125407,-0.02055942293564042,0.2220014760406665,0.13835113484646194,0.11900871459694995,3.0854917210961696,-0.15811234850606276,-0.025115141416209234,no,,45-49,,,,,,,,,,-0.949171647276544,-1.3952511969044064,-2.16338619731717,-1.904853027455775,-3.860089462530898,-12.652302496793906,-0.8450551007361156,-1.8117739240085704,-18.585863508587583,-2.489358097001838,-1.3952511969044064,-3.824758790310492,-14.479554030058816,-1.1692741670575784,-4.637528791588163,-1.1570239822922903,-2.0495905802535663,-5.042918409154762,-1.9230507593055004,-6.991204144862699,-1.3952511969044064,-1.7604410071778243,-1.3089449713074461,-5.118252624435493,-18.7670619212258,-2.9390410938593545,-1.0354745326537214,-0.8688261120943644,-0.8132103794956761,-1.215555214547584,-1.7259096667273037,0,0,1313,1057,,
7,Hispanic:no  age_group:60-64,24410,0.586402030541339,0.41544147643149637,0.14323607427055704,0.013934971876517394,-28.915102589250257,9940,9.060436129500871e-05,0.8567639257294429,True,14093,0.029176521471130618,0.5853451454321998,377,-15.13834734975925,0.8905301671494587,0.12409423765398085,-25.92512869958538,0.40535133466668144,0.026205523224762137,323,0.18272436645606036,0.5850873915390045,0.8172756335439396,0.51721247671614,-0.9611262912868171,0.8172756335439396,0.24426258234189294,0.6035911134800412,14147,-13.843163638194074,0.10395758982485942,-23.690225424083287,-0.964710657250882,0.5905776321179844,0.10946983285054103,-15.941898120928602,0.11070614240562662,0.5801447716768714,0.7337925598667876,24033,-0.967675898793186,0.995022458474719,0.8567639257294429,0.721582978135391,2.030929643076279,0.7049620765255443,0.5926383876488229,0.060714285714285714,0.586402030541339,0.7036069504975354,8.206879702616935e-05,0.015444489963129865,2.006664654513318,0.5533895117697152,0.40995921064231416,0.9961829363115855,10263,0.017070913156821677,2.0714896807903123,0.5902188792264895,0.0314722790607035,0.3302176135959461,8.619355389632222e-05,0.41985522832312866,2.1613581342584816,0.8567639257294429,0.7415937345873468,0.7395590057732463,0.8905301671494587,0.7438031024315802,0.21005896414910843,0.413597969458661,0.581290229998164,8.480585364036068,54,2.0714896807903123,0.03260570371596687,6.531227760061144,0.40736161235117585,11.429606828626655,0.738239916186485,0.595562269561655,0.8905301671494587,2.143562238690093,0.721582978135391,0.028179278008361355,0.8172756335439396,0.03503452133572112,0.9971312425680479,2,1.593556931986252,0.1780455937744241,0.023476604648771764,-0.6568482668681623,0.09055991098910383,0.09928615693397003,0.16843714236589974,0.15488344915217275,0.14608698491876793,0.126563382670932,0.17483703378335042,0.42044244162228595,0.09928615693397003,3.8297240075785406,0.15660345778489315,0.02733477148247808,no,,60-64,,,,,,,,,,-0.8966122607878841,-1.7277298073483118,-1.9102257147578594,-4.034168390668104,-1.4240996064918567,1.7610057412146995,-1.0809532487128586,-1.841475664375435,1.3539120996343987,-1.259499967418373,-1.7277298073483118,-0.7082575534426084,1.0787612995682863,-2.494818848016821,-0.2686980951494782,-3.5046114365773477,-0.8371680730726718,-0.25525984432786236,-1.6669089899024667,-8.752018028156106,-1.7277298073483118,-9.694929923518185,-0.9276926345645453,-0.4482854971594657,1.0519394826648965,-0.7641758746508746,-1.0100463147583443,-1.001479401755805,-1.1650030079129758,-1.0893100480739069,-2.408468137359731,0,1,924,368,,368.0
8,Hispanic:no  age_group:50-54,30404,0.753551677318939,0.36094536642736225,0.18357487922705315,0.0059149296581784,-39.87305759388709,7442,0.00011617768167356847,0.8164251207729468,True,22755,0.019378313462896805,0.7503280818313379,207,-26.61299095680715,0.8666949650609694,0.11778318953610166,-35.3829724263168,0.34436220730369166,0.01601784666140452,169,0.2431495628435508,0.7526045973209856,0.7568504371564491,1.0507860542417813,-0.9741758752589631,0.7568504371564491,0.2436128599437189,1.2768738074109531,22793,-23.63095216824603,0.09406205695569761,-31.351265049811573,-0.9761281177619766,0.7539797395079595,0.13330503493903054,-30.30532271760936,0.10819386698616008,0.7486503162445132,0.8550288703592939,30197,-0.9791601615800901,0.9977123780650156,0.8164251207729468,0.784988399045943,2.981348920006948,0.7671849495060369,0.7584042167881309,0.04323356357124585,0.753551677318939,0.7584437376712957,0.00010439738459951807,0.0068083146954348115,3.053906507177207,1.1683179198868614,0.35459735651594854,0.998332821480279,7611,0.007797787967051543,3.3127639575356995,0.7566445529236344,0.02220470371830246,0.3075310773470358,0.00010970506863382785,0.2513496837554878,3.5309586384785994,0.8164251207729468,0.816143480901999,0.81153306042059,0.8666949650609694,0.8608962830824507,0.18968972586186006,0.24644832268106104,0.7465295621302903,13.59847734762868,38,3.3127639575356995,0.02283473547258354,10.910415032910562,0.24159578321186917,18.843161840135174,0.8588412908095868,0.760394191553743,0.8666949650609694,3.487817597637747,0.784988399045943,0.01901263704119929,0.7568504371564491,0.025769549967698445,0.9988199434762459,2,0.8541729352144942,0.11444444768542408,-0.0642468027820288,-1.1926106387654878,-0.0529225230728778,0.04101644984188779,-0.03159393978009372,0.04399748126686705,-0.05499082725825296,-0.00043490203127313776,0.15748742262169665,0.2503289040915669,0.04101644984188779,2.882040704662505,-0.04273693043842319,-0.051928687863193816,no,,50-54,,,,,,,,,,-0.9819502938903156,-0.9808132224372553,-0.8336969355458635,-0.9191395392246976,-0.625295080526808,-6.06516348370279,-1.040410578431596,-0.7311653647762546,-6.254875833265387,-0.8031260354976693,-0.9808132224372553,-1.66571822150324,-6.320087174601701,-1.0532298328237972,-2.1631718150282104,-1.2709547737217655,-1.956257467158849,-2.1188822742322473,-0.8293847919963682,-8.512241423929467,-0.9808132224372553,-2.8375300478459176,-1.4343646954105016,-1.8108952535642964,-6.930104136810454,-1.5009365917484851,-1.0272017609592192,-1.1565375657448473,-1.0367761838587037,-1.0178100529831984,-1.926075771050335,0,0,888,556,,
9,Hispanic:no  age_group:70-74,17104,0.7443161738720697,0.42021380589711366,0.4365079365079365,0.0061402590405110185,-39.19068161889987,4341,0.0001422306091822248,0.5634920634920635,True,12637,0.012283604059467065,0.7349611202057997,126,-25.56069759745104,0.6516209428646166,0.07691660274669894,-34.14781220141097,0.39203134064951084,0.009977977256753404,71,0.5276904406341428,0.7419127575882111,0.47230955936585745,0.45744633530944445,-0.9766987513309329,0.47230955936585745,0.5864549929597014,0.7632321072393311,12692,-21.755104280431237,0.038790729898935346,-29.5007340360355,-0.9795740865456185,0.7429840972871843,0.3483790571353834,-30.10211434780597,0.06016251618796329,0.7376832404203653,0.8491936469710608,16978,-0.9823674401053585,0.9943631229926142,0.5634920634920635,0.6539041186820667,1.880691578561975,0.6119354828463905,0.7508653203778546,0.03129131776112826,0.7443161738720697,0.6103091275424071,0.0001131884791976705,0.007366697848456501,1.8680879301009872,0.6121443382024561,0.40248878724703824,0.9956665616136149,4412,0.008764825611702314,2.2038627629505307,0.7489024002569156,0.016092475067996374,0.6948776335371515,0.00012980697154850576,0.26231675957963474,2.5114397176541616,0.5634920634920635,0.6928060222606451,0.6974991098217262,0.6516209428646166,0.8550412110756918,0.5045166545873122,0.2556838261279303,0.7366545212351484,3.7579401478503067,55,2.2038627629505307,0.014759378316212666,2.674696561308206,0.24913467962214544,5.235133865856694,0.8518368722615437,0.7492399438727783,0.6516209428646166,2.493556557202196,0.6539041186820667,0.012589188029286727,0.47230955936585745,0.020255673342167654,0.9967338426841957,2,0.8936557452121602,-0.12194468069507874,-0.3592609069149245,-1.1498053668241393,-0.20114016095065684,-0.23556707629288276,-0.018780862875510205,-0.040269512556934985,-0.04167027610470905,-0.13184128038695728,-0.05042348367021025,0.2579513564078578,-0.23556707629288276,2.91818378814372,-0.030695986587311264,-0.45008893744271156,no,,70-74,,,,,,,,,,-1.8569960950794853,-1.0880422326875927,-1.3370254004355824,-1.0860494926840523,-1.0838861621020235,-4.376832922319896,-2.161824886455329,-1.0778822483395119,-3.628311404707426,-0.7773634743240562,-1.0880422326875927,-0.7683633563212529,-4.104557512340235,-1.2056617723862912,-0.7485302990502193,-1.573308332201669,-0.7690965008077122,-0.8766935969609103,-1.0173370819142131,-4.349875863642584,-1.0880422326875927,-3.076672672650738,-0.7587577918541828,-0.7645779523808882,-5.95234332716413,-0.9325987033853943,-1.0355364008510586,-0.829804555545055,-1.0769606709566755,-1.0514789550420764,-2.425762667091212,0,0,676,720,,
